,Unnamed: 0,year,make,model,final_price,mileage,engine,zipcode,engine string
129,129,1994,Jaguar,Jaguar XJS,16750.0,132000,4000.0,19124,4.0-Liter Inline-Six
130,130,1998,Ferrari,Ferrari F355,106000.0,16000,3500.0,31405,3.5-Liter V8
131,131,2002,Porsche,Porsche 996 911,40000.0,67000,3600.0,10560,3.6-Liter Flat-Six
132,132,2003,BMW,BMW E39 5-Series,10000.0,150000,4400.0,48093,4.4-Liter V8
135,135,2011,Porsche,Porsche 997 911,74500.0,9000,3800.0,93001,3.8-Liter Flat-Six
137,137,1973,Triumph,Triumph TR6,15500.0,80000,2500.0,11937,2.5-Liter Inline-Six
138,138,1990,Chevrolet,Chevrolet Corvette C4,33500.0,5000,5700.0,34145,5.7-Liter LT5 V8
141,141,2005,Mercedes-Benz,Mercedes-Benz R230 SL,17250.0,47000,5000.0,7074,5.0-Liter V8
142,142,2005,Shelby,Shelby Cobra Replica,34000.0,12000,4948.874,2333,302ci V8
143,143,1996,Nissan,Nissan 300ZX,38000.0,24000,3000.0,29621,Twin-Turbocharged 3.0-Liter V6
145,145,1985,Ferrari,Ferrari 308,69000.0,55000,2900.0,92037,2.9-Liter Quad-Cam V8
146,146,1963,Chevrolet,Chevrolet Corvette C2,95000.0,49000,5358.549,48035,327ci L75 V8
147,147,2004,Porsche,Porsche 996 911,85000.0,44000,3600.0,37916,3.6-Liter M96 Flat-Six
148,148,2004,BMW,BMW E60 5-Series Sedan,17000.0,49000,3000.0,10560,3.0-Liter Inline-Six
149,149,1988,Toyota,Toyota Land Cruiser 60-Series,50000.0,192000,5700.0,84037,5.7-liter Vortec V8
150,150,2005,Mercedes-Benz,Mercedes-Benz CLK-Class,12000.0,41000,3200.0,94901,3.2-Liter V6
151,151,2019,Ford,Ford Mustang S550,57500.0,5000,5200.0,28117,5.2-Liter V8
152,152,2013,Mercedes-Benz,Mercedes-Benz AMG,37000.0,35000,6200.0,77401,6.2-Liter M156 V8
153,153,1967,Jaguar,Jaguar XKE Series I,130000.0,56000,4200.0,94608,Overbored 4.2L Inline-Six
154,154,2005,Porsche,Porsche 987 Boxster,29750.0,21000,3200.0,7074,3.2-Liter Flat-Six
155,155,1965,Chevrolet,Chevrolet Corvette C2,88500.0,78000,5358.549,85260,327ci V8 
156,156,1996,Ford,Ford F-Series 1992-1997,16750.0,68000,5800.0,64016,5.8-Liter V8
158,158,1976,Porsche,Porsche 914,41000.0,4000,2000.0,93105,2.0-Liter Inline-Four
159,159,1985,Jeep,Jeep Grand Wagoneer,18000.0,110000,5899.32,92880,360ci V8
160,160,1992,Volvo,Volvo 240,29500.0,85000,2300.0,10560,2.3-Liter Inline-Four
161,161,2008,Ferrari,Ferrari 612 Scaglietti,217000.0,20000,5700.0,90230,5.7-Liter F133H V12 
162,162,1966,Chevrolet,Chevrolet Chevelle,24750.0,5000,5735.45,92708,350ci V8
164,164,1989,Ford,Ford Fox-Body Mustang,14250.0,19000,4948.874,98248,302ci V8
165,165,1967,Pontiac,Pontiac GTO,39000.0,85000,6554.8,33156,400ci V8
166,166,2005,Mercedes-Benz,Mercedes-Benz W211 E-Class,24000.0,45000,3200.0,12590,3.2-Liter Turbodiesel Inline-Six
168,168,2018,Porsche,Porsche Panamera,64500.0,13000,3000.0,10560,Turbocharged 3.0-Liter V6
169,169,1973,Triumph,Triumph Spitfire,11250.0,69000,1500.0,75022,1.5-Liter Inline-Four
170,170,1969,BMW,BMW Neue Klasse,27750.0,10000,2000.0,6880,Turbocharged 2.0-Liter Inline-Four
171,171,1986,Ferrari,Ferrari 328,93500.0,30000,3200.0,7417,3.2-Liter V8
172,172,1982,Mazda,Mazda RX-7 FB,13500.0,70000,1100.0,6480,1.1-Liter 12A Rotary
175,175,1998,GMC,GMC Pickup,18260.0,63000,5000.0,15301,5.0-Liter V8
176,176,1988,Volkswagen,Volkswagen Vanagon,23250.0,153000,2100.0,97303,2.1-Liter Flat-Four
177,177,2000,Ford,Ford F-Series 1997-2004,20250.0,51000,5400.0,63026,5.4-Liter Triton V8
178,178,1967,Chevrolet,Chevrolet Chevelle,24000.0,70000,4637.521,16509,283ci V8
179,179,2006,BMW,BMW E46 3-Series Convertible,23500.0,32000,3000.0,19010,3.0-Liter Inline-Six
180,180,1970,Ford,Ford Torino,25000.0,52000,5751.837,17543,M-Code 351ci V8
184,184,2009,Chevrolet,Chevrolet Corvette C6,68000.0,6000,6200.0,86404,Supercharged 6.2-Liter LS9 V8
185,185,1965,Ford,Ford Mustang 1964.5-1966,52733.0,16000,4948.874,34990,302ci V8
186,186,2005,Porsche,Porsche 997 911,43250.0,32000,3600.0,85226,3.6-Liter Flat-Six
187,187,1999,Jeep,Jeep Wrangler,27500.0,28000,4000.0,85377,Turbocharged 4.0-Liter Inline-Six
189,189,1979,Volkswagen,Volkswagen Bus,28000.0,50000,2000.0,92109,2.0-Liter Flat-Four
190,190,1971,Datsun,Datsun 510,21510.0,36000,1600.0,91789,1.6-Liter Inline-Four
192,192,2022,BMW,BMW F90 M5,165000.0,106000,4400.0,92618,Twin-Turbocharged 4.4-Liter S63 V8
194,194,1974,BMW,BMW 2002tii,32000.0,38000,2000.0,3846,Rebuilt 2.0-Liter Inline-Four
195,195,1970,Ford,Ford Mustang 1969-1973,81000.0,7000,4948.874,93940,Replacement 302ci V8
196,196,1970,Datsun,Datsun 240Z,43000.0,59000,2400.0,93940,2.4-Liter L24 Inline-Six
198,198,2005,Ford,Ford GT 1st Generation,456000.0,169000,5400.0,32819,Supercharged 5.4-Liter V8
200,200,2005,BMW,BMW E46 330 ZHP,15450.0,71000,3000.0,40383,3.0-Liter Inline-Six
202,202,1996,Chevrolet,Chevrolet Impala,18500.0,51000,5700.0,92663,5.7-Liter LT1 V8
203,203,1996,Porsche,Porsche 550 Spyder Replica,67000.0,97000,2165.0,92270,"2,165cc Flat-Four"
206,206,1999,Mazda,Mazda Miata,14500.0,24000,1800.0,85281,1.8-Liter Inline-Four
207,207,1963,Chevrolet,Chevrolet Impala,51500.0,82000,5358.549,95492,327ci V8
210,210,1991,GMC,GMC Syclone,34500.0,104000,4300.0,95124,Turbocharged 4.3-Liter V6
211,211,1976,Honda,Honda Motorcycles,12500.0,8000,999.0,78727,999cc SOHC Flat-Four
213,213,1978,MG,MG Midget,9466.0,39000,1500.0,44481,"1,500cc Inline-Four"
214,214,1973,Ford,Ford F-Series 1973-1979,30500.0,74000,5899.32,92626,360ci V8
217,217,2008,Ford,Ford Mustang S197 2005-2014,18600.0,20000,4600.0,7074,4.6-Liter V8
218,218,2002,Porsche,Porsche 996 911,30250.0,60000,3600.0,29588,3.6-Liter Flat-Six
219,219,1977,Mercedes-Benz,Mercedes-Benz R107 SL,14750.0,39000,4500.0,70433,4.5-Liter M117 V8
220,220,2001,BMW,BMW E39 5-Series,13250.0,60000,2500.0,19348,2.5-Liter Inline-Six
221,221,2012,Land Rover,Land Rover Range Rover Sport L320,26000.0,52000,5000.0,90265,Supercharged 5.0-Liter V8
224,224,1998,Jaguar,Jaguar XJ,7500.0,74000,4000.0,7074,4.0-Liter V8 
225,225,2001,Mercedes-Benz,Mercedes-Benz CLK-Class,19001.0,21000,3200.0,7753,3.2-Liter M112 V6
226,226,1995,Nissan,Nissan 300ZX,27000.0,134000,3000.0,32966,Twin-Turbocharged 3.0L V6
227,227,2001,BMW,BMW E46 M3,26000.0,30000,3200.0,46802,3.2-Liter S54 Inline-Six
228,228,1978,Ford,Ford Bronco 2nd Generation 1978-1979,16500.0,44000,6997.249,43449,427ci Stroker V8
229,229,1996,Chevrolet,Chevrolet Corvette C4,15000.0,63000,5700.0,14526,5.7-Liter LT1 V8
230,230,1995,Jeep,Jeep Grand Cherokee,20250.0,11000,5200.0,83301,5.2-Liter V8
232,232,1958,Chevrolet,Chevrolet Corvette C1,65500.0,21000,4637.521,85022,Overbored 283ci V8
233,233,1997,Land Rover,Land Rover Defender 90 NAS,64001.0,113000,4000.0,60914,4.0-Liter V8 
234,234,2010,Mercedes-Benz,Mercedes-Benz W221 S-Class,25750.0,74000,5500.0,7074,Twin-Turbocharged 5.5L V12
235,235,1994,Mercedes-Benz,Mercedes-Benz R129 SL,23500.0,32000,6000.0,10560,6.0-Liter V12
237,237,2000,Honda,Honda S2000,29800.0,36000,2000.0,53114,2.0-Liter Inline-Four
238,238,2008,BMW,BMW E90/E92/E93 M3,43000.0,34000,4000.0,48307,4.0-Liter S65 V8
240,240,2010,Chevrolet,Chevrolet Corvette C6,45950.0,19000,6200.0,48381,6.2-Liter LS3 V8
241,241,2004,Porsche,Porsche 996 Turbo,96000.0,24000,3600.0,7052,Twin-Turbocharged 3.6L Flat-Six
242,242,1973,Triumph,Triumph TR6,20000.0,64000,2500.0,7945,2.5-Liter Inline-Six
243,243,2009,Mercedes-Benz,Mercedes-Benz R230 SL,30250.0,79000,6200.0,91406,6.2-Liter M156 V8
244,244,1993,Nissan,Nissan 240SX,14000.0,36000,2400.0,99037,2.4-Liter KA24DE Inline-Four 
245,245,1965,Chevrolet,Chevrolet Corvette C2,56500.0,55000,5358.549,8527,327ci V8
246,246,1998,BMW,BMW Z3,12800.0,75000,1900.0,34771,1.9-Liter Inline-Four
248,248,2006,Lotus,Lotus Elise,48500.0,30000,1800.0,30534,1.8-Liter Inline-Four
249,249,1971,Chevrolet,Chevrolet Chevelle,36750.0,62000,8226.274,8527,502ci V8
250,250,1980,Jeep,Jeep Grand Wagoneer,12750.0,70000,5899.32,34787,360ci V8
253,253,1999,Chevrolet,Chevrolet Suburban,37000.0,27000,6500.0,53114,6.5-Liter Turbodiesel V8
254,254,1997,Ford,Ford F-Series 1992-1997,18850.0,37000,7500.0,92127,7.5-Liter V8
255,255,1964,MG,MG MGB,23500.0,45000,1800.0,38024,1.8-Liter Inline-Four
256,256,1993,Chevrolet,Chevrolet Pickup,19751.0,87000,5700.0,32401,5.7-Liter V8
257,257,1993,Shelby,Shelby Cobra Replica,46000.0,17000,5000.0,97030,Fuel-Injected 5.0L V8 
258,258,1995,Mitsubishi,Mitsubishi 3000GT,35000.0,26000,3000.0,58831,Twin-Turbocharged 3.0-Liter V6
259,259,1989,Porsche,Porsche 964 911,78000.0,137000,3600.0,10560,3.6-Liter Flat-Six
262,262,1982,Jeep,Jeep CJ-7,23750.0,6000,5300.0,29576,5.3-Liter Vortec V8
263,263,1973,Ford,Ford Mustang 1969-1973,20888.0,7000,5751.837,92705,351ci Cleveland V8
265,265,2016,Chevrolet,Chevrolet Corvette Callaway,102000.0,8000,6200.0,92626,Supercharged 6.2-Liter LT4 V8
267,267,1961,Chevrolet,Chevrolet Corvette C1,80000.0,36000,6000.0,29902,6.0-Liter LS2 V8
268,268,2004,Volkswagen,Volkswagen R32,25000.0,141000,3200.0,12771,3.2-Liter VR6
269,269,1960,Austin-Healey,Austin-Healey Bugeye Sprite,21500.0,94000,3500.0,92782,3.5-Liter V8
272,272,1999,BMW,BMW E36 M3,32500.0,74000,3200.0,10310,3.2-Liter S52 Inline-Six
273,273,1985,Chevrolet,Chevrolet Camaro 3rd Generation 1982-1992,10305.0,32000,5000.0,32666,5.0-Liter TPI V8
274,274,1976,Ford,Ford Bronco U13/U14/U15 1966-1977,34500.0,60000,4948.874,84010,302ci V8
275,275,2000,BMW,BMW E39 M5,37250.0,43000,4900.0,7086,4.9-Liter S62 V8
276,276,2000,Lexus,Lexus SC Coupe,14300.0,82000,3000.0,94040,3.0L 2JZ-GE Inline-Six
277,277,2011,Cadillac,Cadillac CTS-V,50777.0,20000,6200.0,48331,6.2-Liter Supercharged V8
278,278,1989,Porsche,Porsche 911 Carrera 3.2,62900.0,132000,3200.0,95682,3.2-Liter Flat-Six
279,279,2002,Porsche,Porsche 996 911,25500.0,108000,3600.0,29708,3.6-Liter Flat-Six
280,280,1986,Porsche,Porsche 911 Carrera 3.2,72411.0,100000,3200.0,94520,3.2-Liter Flat-Six
281,281,1972,Chevrolet,Chevrolet Pickup,34197.0,48000,5735.45,78759,350ci V8
282,282,1977,Pontiac,Pontiac Grand Prix,15000.0,21000,5735.45,1077,350ci V8
285,285,2016,Porsche,Porsche 991 Turbo,136000.0,34000,3800.0,33139,Twin-Turbocharged 3.8L Flat-Six
287,287,1962,Chevrolet,Chevrolet Corvette C1,62500.0,10000,5358.549,92618,327ci V8
288,288,1960,Ford,Ford Galaxie,32292.0,7000,4785.004,95988,Replacement 292ci V8
291,291,2000,Acura,Acura Integra,15500.0,35000,1800.0,33919,1.8-Liter Inline-Four
293,293,1974,Pontiac,Pontiac Firebird,18500.0,97000,7456.085,97227,455ci V8
294,294,1978,Porsche,Porsche 911SC,61500.0,121000,3000.0,98290,3.0-Liter Flat-Six
296,296,1991,Porsche,Porsche 964 911,100000.0,48000,3600.0,93940,3.6-Liter Flat-Six
297,297,1995,Land Rover,Land Rover Range Rover Classic,24000.0,163000,4200.0,97132,4.2-Liter Rover V8
299,299,2010,Porsche,Porsche 997 911,84000.0,30000,3800.0,93940,3.8-Liter Flat-Six
300,300,1997,Dodge,Dodge Viper,65000.0,20000,8000.0,93940,8.0L V10
301,301,2001,Ferrari,Ferrari 550 Maranello,474000.0,9000,5500.0,90210,5.5-Liter F113C V12 
303,303,1973,Honda,Honda Motorcycles,7700.0,35000,736.0,91411,736cc Inline-Four
304,304,1997,Porsche,Porsche 986 Boxster,19251.0,23000,2500.0,7935,2.5-Liter Flat-Six
305,305,2015,Porsche,Porsche 911 GT3,139000.0,10000,3800.0,2030,3.8-Liter Flat-Six
306,306,2001,Aston Martin,Aston Martin DB7,25503.0,83000,5900.0,65803,5.9-Liter V12
307,307,1968,Porsche,Porsche 912,100412.0,7000,3000.0,30506,3.0-Liter Flat-Six
308,308,2013,Mercedes-Benz,Mercedes-Benz R231 SL,71000.0,14000,5500.0,85260,Twin-Turbocharged 5.5-Liter V8
310,310,2011,Land Rover,Land Rover Range Rover L322,29000.0,36000,5000.0,53114,5.0-Liter V8
311,311,1963,Jeep,Jeep CJ-5,24500.0,48000,2195.858,27606,134ci Inline-Four
314,314,2016,Toyota,Toyota Land Cruiser 200-Series,63000.0,75000,5700.0,92627,5.7-Liter V8
316,316,1973,International Harvester,International Harvester Scout,65000.0,75000,6276.2210000000005,95949,383ci Chevrolet V8
317,317,1997,Ford,Ford F-Series 1997-2004,19750.0,11000,4200.0,19380,4.2L V6
318,318,1992,Mercedes-Benz,Mercedes-Benz 500E & E500,29000.0,161000,5000.0,85260,5.0-Liter V8
320,320,1966,Chevrolet,Chevrolet Chevelle,69555.0,270000,8160.726000000001,24340,Stroker 498ci V8
323,323,1981,Volkswagen,Volkswagen Vanagon,28000.0,129000,2500.0,72758,2.5L Subaru Flat-Four
324,324,1971,Volvo,Volvo P1800/1800,23850.0,132000,2000.0,43611,Rebuilt 2.0-Liter Inline Four
325,325,1972,Mercedes-Benz,Mercedes-Benz W108 & W109,23500.0,72000,4500.0,10560,4.5-Liter V8
326,326,1994,Mazda,Mazda Miata,11750.0,59000,1800.0,19348,1.8-Liter DOHC Inline-Four
327,327,2008,Cadillac,Cadillac XLR,62500.0,28000,4400.0,7849,Supercharged 4.4-Liter V8
330,330,2021,Jeep,Jeep Pickup,70005.0,6000,6423.704,92003,Replacement 392ci Hemi V8
331,331,1965,Honda,Honda Motorcycles,12000.0,11000,305.0,65233,305cc Four-Stroke Parallel Twin
332,332,2002,GMC,GMC Yukon GMT800,31250.0,47000,5300.0,15747,5.3-Liter V8
333,333,2016,Alfa Romeo,Alfa Romeo 4C,58000.0,14000,1700.0,28036,Turbocharged 1.7-Liter Inline-Four
334,334,2000,Porsche,Porsche 996 911,38000.0,80000,3400.0,37916,3.4-Liter Flat-Six
335,335,1987,Porsche,Porsche 911 Carrera 3.2,67500.0,108000,3200.0,33919,3.2-Liter Flat-Six
336,336,1988,Mercedes-Benz,Mercedes-Benz R107 SL,31250.0,86000,5500.0,17603,5.5-Liter V8
337,337,1994,Toyota,Toyota Land Cruiser 80-Series,36250.0,229000,4500.0,30068,4.5-Liter Inline-Six
339,339,2005,Mercedes-Benz,Mercedes-Benz W211 E-Class,27211.0,62000,5400.0,1960,Supercharged 5.4L V8
340,340,2003,BMW,BMW E46 M3,28260.0,47000,3200.0,7446,3.2-Liter Inline-Six
341,341,2008,Mercedes-Benz,Mercedes-Benz W221 S-Class,24500.0,31000,5500.0,92627,5.5-Liter V8
342,342,2008,Ferrari,Ferrari 599 GTB & GTO,142000.0,15000,6000.0,12603,6.0-Liter F140C V12
344,344,2004,Toyota,Toyota Pickup,24000.0,46000,4700.0,68132,4.7-Liter V8
345,345,1961,Morris,Morris Minor,19050.0,40000,948.0,14867,948cc Inline-Four
346,346,1999,Mercedes-Benz,Mercedes-Benz R129 SL,12250.0,45000,5000.0,45014,5.0-Liter V8
347,347,2008,Mercedes-Benz,Mercedes-Benz R230 SL,26964.0,42000,5500.0,60062,5.5-Liter V8
349,349,2012,Porsche,Porsche 991 911,69800.0,18000,3800.0,46112,3.8-Liter Flat-Six 
350,350,2012,Toyota,Toyota FJ Cruiser,48500.0,23000,4000.0,91367,4.0-Liter 1GR-FE V6
355,355,1979,Lincoln,Lincoln Continental,15000.0,48000,6554.8,21550,400ci V8
356,356,2001,Mercedes-Benz,Mercedes-Benz R129 SL,65000.0,20000,6000.0,78738,6.0-Liter M120 V12
357,357,1989,Mercedes-Benz,Mercedes-Benz R107 SL,29000.0,49000,5500.0,21645,5.5-Liter M117 V8
360,360,1966,Pontiac,Pontiac Tempest / LeMans,41000.0,25000,7996.856,23838,488ci V8
361,361,2001,Porsche,Porsche 996 Turbo,64546.0,45000,3600.0,75231,Twin-Turbocharged 3.6L Flat-Six
364,364,1990,BMW,BMW E30 3-Series,25250.0,154000,2500.0,94592,2.5-Liter M20B25 Inline-Six
366,366,2022,Ford,Ford U725 Bronco,64500.0,46000,2300.0,97346,Turbocharged 2.3-Liter Inline-Four
367,367,1982,Toyota,Toyota Supra,19750.0,118000,2800.0,60101,2.8-Liter Inline-Six
371,371,2013,Mini,Mini Modern,26750.0,66000,1600.0,92592,Turbocharged 1.6-Liter Inline-four
374,374,1977,Jeep,Jeep CJ-7,18000.0,30000,4981.648,29707,304ci V8
375,375,1979,Porsche,Porsche 928,12750.0,81000,4500.0,83871,4.5-Liter V8
377,377,1966,Volkswagen,Volkswagen Beetle,31888.0,5000,1600.0,33166,1.6-Liter Flat-Four
