,year,make,model,final_price,mileage,engine,zipcode
66,1996,010s,oryCharity Auctions,"$175,000",0,"95k Miles Shown, TMU",43402
67,2013,Mercedes-Benz,Mercedes-Benz Gelandewagen,"$68,500",51000,5.5-Liter M273 V8,44102
68,1996,Alfa Romeo,90s,"$8,765",0,2.0L Twin Spark Inline-Four,44102
69,2006,BMW,BMW E46 330 ZHP,"$15,750",87000,3.0-Liter M54 Inline-Six,91011
70,1983,Moto Guzzi,80s,"$6,000",11000,844cc V-Twin,6420
71,1968,Volkswagen,Volkswagen Type 3,"$16,250",33000,1.6-Liter Flat-Four,4543
72,1998,Toyota,Toyota Supra,"$99,000",78000,Twin-Turbocharged 3.0L Inline-Six,78155
73,1966,Ford,Ford Bronco U13/U14/U15 1966-1977,"$36,750",14000,170ci Inline-Six,83401
74,1977,Oldsmobile,Oldsmobile Cutlass,"$13,000",39000,350ci V8,29588
75,1999,Ferrari,Ferrari 550 Maranello,"$111,000",35000,5.5-Liter DOHC V12,95608
76,1948,940s,nAmerican,"$59,500",0,Green and White Paint,34233
77,2012,Mercedes-Benz,Mercedes-Benz AMG,"$34,500",48000,6.3-Liter V8 ,20879
78,2020,BMW,BMW M2,"$56,000",10000,Twin-Turbocharged 3.0L Inline-Six,97212
79,1990,Ferrari,Ferrari 348,"$205,000",5000,3.4-Liter V8,90049
80,1968,Triumph,Triumph GT6,"$19,000",74000,2.0-Liter Inline-Six,95125
81,2014,Chevrolet,Chevrolet Corvette C7,"$49,000",543000,6.2-Liter LT1 V8,33909
82,2005,Aston Martin,Aston Martin DB9,"$30,007",54000,6.0-Liter DOHC V12,7069
83,1953,Chrysler,Chrysler Town & Country,"$25,000",47000,331ci Hemi V8,29403
84,2003,BMW,BMW E46 M3,"$41,000",74000,Supercharged 3.2-Liter S54 Inline-Six,28677
85,1973,Volkswagen,Volkswagen Bus,"$25,000",68000,2.0-Liter Flat-four,92691
86,1991,Bentley,90s,"$125,000",44000,6.75-Liter V8,33444
87,1986,Toyota,Toyota Pickup,"$20,000",169000,2.4-Liter 22RE Inline-Four,37210
88,1948,MG,MG TC,"$26,755",9000,"XPAG 1,250cc Inline-Four",43449
89,1935,Ford,30s,"$33,250",400000,221ci Ford Flathead V8,94526
90,1999,Mazda,Mazda Miata,"$23,000",825000,1.8-Liter DOHC Inline-Four,94610
91,1997,Nissan,Nissan 240SX,"$16,500",58000,2.4-Liter DOHC Inline-Four,16851
92,1978,Kawasaki,70s,"$7,400",16000,"1,015cc DOHC Inline-Four",89512
93,2018,Aston Martin,10s,"$140,000",0,Twin-Turbocharged 5.2-Liter V12 ,85018
94,1996,Nissan,Nissan 300ZX,"$55,500",157000,3.0-Liter V6,28117
95,2012,Porsche,Porsche 987 Cayman,"$65,000",80000,3.4-Liter Flat Six,36203
96,1969,Chevrolet,Chevrolet Chevelle,"$55,000",0,ZZ430 350ci V8,93940
97,1958,Mercedes-Benz,Mercedes-Benz 190SL,"$112,100",0,1.9-Liter Inline-Four,93940
98,1984,Porsche,Porsche 911 Carrera 3.2,"$103,250",134000,3.2-Liter Flat-Six,93940
99,1995,Ferrari,Ferrari F50,"$3,305,000",0,Mid-Mounted 4.7L Quad-Cam V12,93940
100,1984,Ferrari,Ferrari Berlinetta Boxer,"$280,000",18000,4.9-Liter Flat-12,93940
101,1983,Toyota,Toyota Land Cruiser 60-Series,"$33,000",145000,4.2-Liter Inline Six,33179
102,2016,Porsche,Porsche Cayenne,"$60,000",51000,Twin-Turbocharged 4.8L V8,33314
103,2015,Chevrolet,Chevrolet Corvette C7,"$65,000",14000,Supercharged 6.2-Liter LT4 V8,92679
104,1965,Chevrolet,Chevrolet Corvette C2,$600,0,"1""-Wide Whitewalls",92807
105,1987,Mercedes-Benz,Mercedes-Benz C126,"$5,000",0,5.5-Liter M117 V8,92807
106,1933,Ford,Ford Hot Rod,"$40,000",0,GM 305ci V8 ,91210
107,1965,Chevrolet,Chevrolet Corvair,"$10,351",67000,164ci Flat-Six ,58102
108,2010,Chevrolet,10s,"$18,250",23000,Turbocharged 2.0-Liter Inline-Four,27526
109,1950,Mercury,50s,"$20,899",62000,255ci Flathead V8,11762
110,1965,Ford,Ford Thunderbird,"$16,500",9000,390ci V8,48412
111,1988,Toyota,Toyota 4Runner,"$16,750",120000,3.4-Liter V6,99301
112,1976,Ford,Ford F-Series 1973-1979,"$17,000",97000,Replacement 427ci V8,28602
113,2021,Ford,Ford Mustang S550,"$105,000",384000,Supercharged 5.2-Liter V8,48380
114,1992,BMW,BMW Motorcycles,"$6,800",69000,Liquid-Cooled 987cc Horizontal Inline-Four,54944
115,1972,Chevrolet,Chevrolet Pickup,"$17,250",93000,Replacement 350ci V8,92704
116,1981,Mercedes-Benz,Mercedes-Benz R107 SL,"$10,000",39000,3.8-Liter V8,61873
117,2003,Jaguar,Jaguar XK8,"$13,000",82000,4.2-Liter V8,75061
118,2013,Porsche,Porsche 981 Boxster,"$54,500",19000,3.4-Liter Flat-Six,11360
119,1985,Mercedes-Benz,Mercedes-Benz W126 S-Class,"$18,000",7000,3.0-Liter Turbodiesel Inline-Five,94124
120,2004,BMW,BMW E63/E64 6-Series,"$16,500",70000,4.4-Liter V8,7074
121,1977,Yamaha,70s,"$3,500",0,392cc Four-Stroke Parallel Twin,97203
122,1960,Porsche,Porsche 356,"$85,000",82000,1.6-Liter Flat-Four,61114
123,2008,Mercedes-Benz,Mercedes-Benz CLK63 AMG Black Series,"$107,000",22000,6.2-Liter M156 V8,75062
124,2005,Lotus,Lotus Elise,"$47,000",16000,1.8-Liter Inline-Four,48442
125,1993,Porsche,Porsche 928,"$40,000",93000,5.4-Liter DOHC V8,92118
126,2018,Ford,Ford Mustang S550,"$76,500",746000,5.2-Liter Voodoo V8,17545
127,2018,Shelby,Shelby Cobra Replica,"$62,500",15000,427ci V8,18055
128,2006,Mitsubishi,Mitsubishi Lancer Evolution,"$36,500",44000,Turbocharged 2.0L 4G63 Inline-Four,63005
129,1994,Jaguar,Jaguar XJS,"$16,750",132000,4.0-Liter Inline-Six,19124
130,1998,Ferrari,Ferrari F355,"$106,000",16000,3.5-Liter V8,31405
131,2002,Porsche,Porsche 996 911,"$40,000",67000,3.6-Liter Flat-Six,10560
132,2003,BMW,BMW E39 5-Series,"$10,000",150000,4.4-Liter V8,48093
133,1976,Kawasaki,70s,"$8,500",10000,498cc Two-Stroke Triple,5641
134,1983,Toyota,Toyota Land Cruiser FJ40,"$45,000",0,3.4-Liter 3B Diesel Inline-Four,5641
135,2011,Porsche,Porsche 997 911,"$74,500",9000,3.8-Liter Flat-Six,93001
136,2006,Land Rover,00s,"$21,500",65000,4.4-Liter V8 ,7074
137,1973,Triumph,Triumph TR6,"$15,500",80000,2.5-Liter Inline-Six,11937
138,1990,Chevrolet,Chevrolet Corvette C4,"$33,500",5000,5.7-Liter LT5 V8,34145
139,2003,Chevrolet,Chevrolet Pickup,"$28,500",0,5.3-Liter Vortec V8,85014
140,1973,Fiat,Fiat 500,"$47,550",0,Air-Cooled Inline-Twin,22556
141,2005,Mercedes-Benz,Mercedes-Benz R230 SL,"$17,250",47000,5.0-Liter V8,7074
142,2005,Shelby,Shelby Cobra Replica,"$34,000",12000,302ci V8,2333
143,1996,Nissan,Nissan 300ZX,"$38,000",24000,Twin-Turbocharged 3.0-Liter V6,29621
144,2006,Ducati,00s,"$26,000",0,992cc L-twin,94960
145,1985,Ferrari,Ferrari 308,"$69,000",55000,2.9-Liter Quad-Cam V8,92037
146,1963,Chevrolet,Chevrolet Corvette C2,"$95,000",49000,327ci L75 V8,48035
147,2004,Porsche,Porsche 996 911,"$85,000",44000,3.6-Liter M96 Flat-Six,37916
148,2004,BMW,BMW E60 5-Series Sedan,"$17,000",49000,3.0-Liter Inline-Six,10560
149,1988,Toyota,Toyota Land Cruiser 60-Series,"$50,000",192000,5.7-liter Vortec V8,84037
150,2005,Mercedes-Benz,Mercedes-Benz CLK-Class,"$12,000",41000,3.2-Liter V6,94901
