,year,make,model,final_price,mileage,engine,zipcode
293,1974,Pontiac,Pontiac Firebird,"$18,500",97000,455ci V8,97227
294,1978,Porsche,Porsche 911SC,"$61,500",121000,3.0-Liter Flat-Six,98290
295,1980,980s,nAmerican,"$3,019",0,Non-Running Project,30458
296,1991,Porsche,Porsche 964 911,"$100,000",48000,3.6-Liter Flat-Six,93940
297,1995,Land Rover,Land Rover Range Rover Classic,"$24,000",163000,4.2-Liter Rover V8,97132
298,2019,Ford,Ford GT 2nd Generation,"$982,000",811000,Twin-Turbocharged 3.5-Liter V6,94506
299,2010,Porsche,Porsche 997 911,"$84,000",30000,3.8-Liter Flat-Six,93940
300,1997,Dodge,Dodge Viper,"$65,000",20000,8.0L V10,93940
301,2001,Ferrari,Ferrari 550 Maranello,"$474,000",9000,5.5-Liter F113C V12 ,90210
302,2014,Ferrari,Ferrari LaFerrari,"$3,525,000",710000,6.3-Liter V12 w/Electric Assistance,32960
303,1973,Honda,Honda Motorcycles,"$7,700",35000,736cc Inline-Four,91411
304,1997,Porsche,Porsche 986 Boxster,"$19,251",23000,2.5-Liter Flat-Six,7935
305,2015,Porsche,Porsche 911 GT3,"$139,000",10000,3.8-Liter Flat-Six,2030
306,2001,Aston Martin,Aston Martin DB7,"$25,503",83000,5.9-Liter V12,65803
307,1968,Porsche,Porsche 912,"$100,412",7000,3.0-Liter Flat-Six,30506
308,2013,Mercedes-Benz,Mercedes-Benz R231 SL,"$71,000",14000,Twin-Turbocharged 5.5-Liter V8,85260
309,1980,BMW,BMW E21 3-Series,"$25,500",0,2.3-Liter Inline-Six,64111
310,2011,Land Rover,Land Rover Range Rover L322,"$29,000",36000,5.0-Liter V8,53114
311,1963,Jeep,Jeep CJ-5,"$24,500",48000,134ci Inline-Four,27606
312,1974,Ford,Ford F-Series 1973-1979,"$10,501",600000,390ci V8,59602
313,1975,Porsche,Porsche 914,"$30,914",107000,HPEVS AC50 Brushless Electric Motor,76501
314,2016,Toyota,Toyota Land Cruiser 200-Series,"$63,000",75000,5.7-Liter V8,92627
315,2016,Porsche,Porsche 911SC,"$3,860",0,Anodized Lips,10987
316,1973,International Harvester,International Harvester Scout,"$65,000",75000,383ci Chevrolet V8,95949
317,1997,Ford,Ford F-Series 1997-2004,"$19,750",11000,4.2L V6,19380
318,1992,Mercedes-Benz,Mercedes-Benz 500E & E500,"$29,000",161000,5.0-Liter V8,85260
319,2022,GMC,GMC Hummer EV,"$187,500",1000,219 Miles,85258
320,1966,Chevrolet,Chevrolet Chevelle,"$69,555",270000,Stroker 498ci V8,24340
321,1996,Ford,Ford F-Series 1992-1997,"$35,500",0,5.0-Liter V8,10538
322,1996,Ferrari,Ferrari 348,"$5,400",0,Two Suitcases,6488
323,1981,Volkswagen,Volkswagen Vanagon,"$28,000",129000,2.5L Subaru Flat-Four,72758
324,1971,Volvo,Volvo P1800/1800,"$23,850",132000,Rebuilt 2.0-Liter Inline Four,43611
325,1972,Mercedes-Benz,Mercedes-Benz W108 & W109,"$23,500",72000,4.5-Liter V8,10560
326,1994,Mazda,Mazda Miata,"$11,750",59000,1.8-Liter DOHC Inline-Four,19348
327,2008,Cadillac,Cadillac XLR,"$62,500",28000,Supercharged 4.4-Liter V8,7849
328,2004,BMW,BMW E46 M3,"$19,000",0,3.2-Liter S54 Inline-Six,7849
329,1982,Chevrolet,Chevrolet Corvette C3,"$24,250",0,5.7-Liter V8,7728
330,2021,Jeep,Jeep Pickup,"$70,005",6000,Replacement 392ci Hemi V8,92003
331,1965,Honda,Honda Motorcycles,"$12,000",11000,305cc Four-Stroke Parallel Twin,65233
332,2002,GMC,GMC Yukon GMT800,"$31,250",47000,5.3-Liter V8,15747
333,2016,Alfa Romeo,Alfa Romeo 4C,"$58,000",14000,Turbocharged 1.7-Liter Inline-Four,28036
334,2000,Porsche,Porsche 996 911,"$38,000",80000,3.4-Liter Flat-Six,37916
335,1987,Porsche,Porsche 911 Carrera 3.2,"$67,500",108000,3.2-Liter Flat-Six,33919
336,1988,Mercedes-Benz,Mercedes-Benz R107 SL,"$31,250",86000,5.5-Liter V8,17603
337,1994,Toyota,Toyota Land Cruiser 80-Series,"$36,250",229000,4.5-Liter Inline-Six,30068
338,2019,Subaru,Subaru WRX STi,"$86,500",0,Turbocharged 2.5-Liter Flat-Four,37865
339,2005,Mercedes-Benz,Mercedes-Benz W211 E-Class,"$27,211",62000,Supercharged 5.4L V8,1960
340,2003,BMW,BMW E46 M3,"$28,260",47000,3.2-Liter Inline-Six,7446
341,2008,Mercedes-Benz,Mercedes-Benz W221 S-Class,"$24,500",31000,5.5-Liter V8,92627
342,2008,Ferrari,Ferrari 599 GTB & GTO,"$142,000",15000,6.0-Liter F140C V12,12603
343,2012,Land Rover,10s,"$31,000",43000,5.0-Liter V8 ,7074
344,2004,Toyota,Toyota Pickup,"$24,000",46000,4.7-Liter V8,68132
345,1961,Morris,Morris Minor,"$19,050",40000,948cc Inline-Four,14867
346,1999,Mercedes-Benz,Mercedes-Benz R129 SL,"$12,250",45000,5.0-Liter V8,45014
347,2008,Mercedes-Benz,Mercedes-Benz R230 SL,"$26,964",42000,5.5-Liter V8,60062
348,1991,Alfa Romeo,Alfa Romeo 105/115 Series Spider,"$10,800",0,2.0L Inline-Four,6830
349,2012,Porsche,Porsche 991 911,"$69,800",18000,3.8-Liter Flat-Six ,46112
350,2012,Toyota,Toyota FJ Cruiser,"$48,500",23000,4.0-Liter 1GR-FE V6,91367
351,1960,Mini,Mini Classic,"$46,000",500000,1.8-Liter Honda B18C VTEC Inline-Four,41051
352,1967,Maserati,Maserati Ghibli,"$300,000",0,Refurbishment 2010-2017,41051
353,2007,Jaguar,00s,"$16,500",35000,Supercharged 4.2-Liter V8,53114
354,1984,Toyota,Toyota Land Cruiser FJ40,"$28,050",0,4.2-liter 2F Inline-Six,32244
355,1979,Lincoln,Lincoln Continental,"$15,000",48000,400ci V8,21550
356,2001,Mercedes-Benz,Mercedes-Benz R129 SL,"$65,000",20000,6.0-Liter M120 V12,78738
357,1989,Mercedes-Benz,Mercedes-Benz R107 SL,"$29,000",49000,5.5-Liter M117 V8,21645
358,3500,Dodge,Dodge Pickup,"$41,000",23000,Bright Silver Metallic Paint,93010
359,1986,Suzuki,80s,"$8,150",97000,1.3-Liter Inline-Four,84060
360,1966,Pontiac,Pontiac Tempest / LeMans,"$41,000",25000,488ci V8,23838
361,2001,Porsche,Porsche 996 Turbo,"$64,546",45000,Twin-Turbocharged 3.6L Flat-Six,75231
362,1957,Austin-Healey,Austin-Healey 100-6,"$37,250",582000,2.6L Inline-Six,20861
363,1957,,,"$9,500",0,Four Weber 42 DCNF Carburetors,20169
364,1990,BMW,BMW E30 3-Series,"$25,250",154000,2.5-Liter M20B25 Inline-Six,94592
365,1965,Buick,60s,"$37,750",44000,425ci V8,78636
366,2022,Ford,Ford U725 Bronco,"$64,500",46000,Turbocharged 2.3-Liter Inline-Four,97346
367,1982,Toyota,Toyota Supra,"$19,750",118000,2.8-Liter Inline-Six,60101
368,2002,BMW,BMW 2002,"$46,000",0,"52k Miles Shown, TMU",91208
369,1966,Chevrolet,Chevrolet Corvette C2,"$105,000",0,427ci V8,48079
370,1972,Tatra,70s,"$22,750",0,Air-Cooled 2.5-Liter V8,61024
371,2013,Mini,Mini Modern,"$26,750",66000,Turbocharged 1.6-Liter Inline-four,92592
372,1985,Honda,Honda ATV,"$5,400",192000,Five-Speed Semi-Automatic Transmission,33312
373,1967,Fiat,Fiat 500,"$15,750",0,499cc Inline-Twin,94301
374,1977,Jeep,Jeep CJ-7,"$18,000",30000,304ci V8,29707
375,1979,Porsche,Porsche 928,"$12,750",81000,4.5-Liter V8,83871
376,2016,BMW,BMW F10 M5,"$80,500",0,20k Miles ,66223
377,1966,Volkswagen,Volkswagen Beetle,"$31,888",5000,1.6-Liter Flat-Four,33166
378,1962,Chevrolet,Chevrolet Corvette C1,"$155,000",10000,327ci V8,94566
379,1970,Datsun,Datsun 240Z,"$23,850",33000,2.8-Liter L28 Inline-Six,14718
380,1969,Chevrolet,60s,"$18,250",22000,427ci V8,93513
381,1981,Buick,Buick Riviera,"$10,600",57000,4.1-Liter V6,15301
382,1997,Mercedes-Benz,Mercedes-Benz R129 SL,"$16,500",80000,5.0-Liter V8,95070
383,2000,Alfa Romeo,Alfa Romeo 105/115 Series Spider,"$14,000",8000,2.0L Twin-Cam Inline-Four,93103
384,2001,Jeep,Jeep Wrangler,"$20,000",44000,4.0-Liter Inline-Six,80210
385,2008,BMW,BMW E90/E92/E93 M3,"$28,000",39000,4.0-Liter S65 V8,96744
386,1973,Volkswagen,Volkswagen Karmann Ghia,"$17,500",90000,"Replacement 1,915cc Flat-Four",46804
387,2009,Pontiac,Pontiac Solstice & Saturn Sky,"$27,000",28000,Turbocharged 2.0-Liter Inline-Four,15747
388,2007,Ford,Ford Shelby Mustang,"$38,500",380000,Supercharged 5.4-Liter V8,43016
389,1985,Toyota,Toyota Land Cruiser 60-Series,"$32,500",270000,International 2.8L Turbodiesel Inline-Four,97862
390,1976,Chevrolet,Chevrolet Corvette C3,"$16,500",24000,350ci L48 V8,22901
391,1965,BMW,BMW Motorcycles,"$25,500",12000,594cc Opposed Twin,10560
392,2005,Dodge,00s,"$20,750",26000,3.5-Liter V6,63026
393,2002,Acura,Acura NSX NA1/NA2,"$128,000",37000,3.2-Liter V6,84321
394,1986,Porsche,Porsche 911 Carrera 3.2,"$52,500",79000,3.2-Liter Flat-Six,98052
395,2007,Honda,Honda S2000,"$35,250",21000,2.2-Liter Inline-Four,33545
396,1995,BMW,BMW E34 5-Series,"$18,250",88000,4.0-Liter V8,8817
397,2017,MV Agusta,10s,"$18,000",0,Four Miles,33966
398,2004,Porsche,Porsche 986 Boxster,"$24,000",33000,3.2-Liter Flat-Six,37924
399,1993,Ferrari,Ferrari Testarossa,"$286,000",0,4.9-Liter Flat-12 ,94063
400,1973,Ducati,70s,"$21,750",555000,Desmodromic L-Twin w/860cc Pistons,76063
401,2000,Jeep,Jeep Cherokee,"$12,001",100000,4.0-Liter Inline-Six,84045
402,1978,Porsche,Porsche 911SC,"$44,222",254000,3.0-Liter Flat-Six,93940
403,1991,Lancia,Lancia Delta,"$78,500",0,Turbocharged 2.0-Liter Inline-Four,95476
404,2001,BMW,BMW E39 M5,"$38,500",103000,4.9-Liter S62 V8,93940
405,1997,Toyota,Toyota Land Cruiser 80-Series,"$39,500",173000,4.5-Liter Inline-Six,85021
406,2020,Chevrolet,Chevrolet Corvette C8,"$79,000",8000,6.2-Liter LT2 V8,95628
407,1966,960s,nAmerican,"$9,750",0,Powder-Coated Blue Frame ,44233
408,1966,inItalian,oryParts,"$17,500",0,Individual Throttle Bodies,97217
409,2017,Porsche,Porsche 991 911,"$107,000",28000,Twin-Turbocharged 3.0L Flat-Six,94610
410,1995,BMW,BMW 7-Series,"$14,750",50000,4.0-Liter V8,60202
411,2015,Dodge,Dodge Challenger,"$68,500",0,5.8-Liter Hemi V8,83616
412,2006,Nissan,Nissan 350Z,"$17,000",32000,3.5-Liter V6,8807
413,1961,Chevrolet,Chevrolet Corvair,"$12,200",59000,145ci Flat-Six,91320
414,1999,Nissan,Nissan R34 Skyline,0,0,Twin-Turbo 2.6L RB26DETT Inline-Six,92835
415,1993,BMW,BMW Motorcycles,"$4,700",23000,980cc Opposed Twin,97123
416,2005,Mercedes-Benz,Mercedes-Benz W220 S-Class,"$26,000",22000,Twin-Turbocharged 5.5-Liter V12,10577
417,2022,Ford,Ford U725 Bronco,"$79,000",239000,Twin-Turbocharged 2.7L EcoBoost V6,48768
418,2008,BMW,BMW E90/E92/E93 M3,"$30,000",53000,4.0-Liter S65 V8,7430
419,2004,Audi,Audi S4,"$15,000",135000,4.2-Liter DOHC V8,80424
420,1976,Honda,Honda Motorcycles,"$8,500",10000,736cc SOHC Inline-Four,47374
421,1959,Chevrolet,50s,"$58,000",3000,5.7-Liter LS1 V8,92647
422,1964,Chevrolet,Chevrolet Corvette C2,"$58,500",55000,327ci L76 V8,85020
423,1973,Toyota,Toyota Land Cruiser FJ45,"$103,000",44000,"19k Miles Shown, TMU",37043
424,1966,Ford,Ford Mustang 1964.5-1966,"$21,000",89000,289ci V8,45840
425,1973,Honda,Honda Motorcycles,"$8,400",7000,347cc Inline-Four,50036
426,2003,BMW,BMW E46 M3,"$35,500",34000,3.2-Liter Inline-Six,6804
427,1988,Nissan,Nissan 300ZX,"$8,000",114000,Turbocharged 3.0L V6,32207
428,2005,Maserati,Maserati Coupe & Spyder,"$25,550",32000,4.2-Liter V8,45233
429,1968,Ford,Ford Mustang 1967-1968,"$33,150",99000,302ci V8,83835
430,1960,Mercedes-Benz,Mercedes-Benz Ponton,"$14,260",0,"19k Miles Shown, TMU",83835
431,1960,Volkswagen,Volkswagen Beetle,"$25,888",79000,"1,800cc Flat-Four",95628
432,1987,Buick,Buick Grand National,"$57,000",159000,Turbocharged 3.8-Liter V6,95628
433,1976,Chevrolet,Chevrolet K5 Blazer 1969-1972,"$26,750",57000,350ci V8,86403
434,1972,Oldsmobile,Oldsmobile Toronado,"$18,500",34000,455ci Rocket V8,92260
435,2007,Maserati,Maserati Quattroporte,"$28,200",13000,4.2-Liter V8,6031
436,2012,BMW,BMW E91 3-Series Touring,"$25,750",44000,3.0-Liter Inline-Six,80027
437,2007,Pontiac,Pontiac Solstice & Saturn Sky,"$26,000",8000,2.0-Liter Turbocharged Inline-Four,32163
438,1980,MG,MG MGB,"$11,000",15000,1.8-Liter Inline-Four,92234
439,2008,Porsche,Porsche Cayenne,"$42,400",144000,Twin-Turbocharged 4.8-Liter V8,92887
440,1970,Cadillac,Cadillac DeVille,"$19,000",77000,472ci V8,77662
441,1996,Toyota,Toyota 4Runner,"$12,345",0,Japanese-Market Example,34984
442,2000,Ducati,00s,"$22,000",948000,996cc Desmoquattro L-Twin,92627
443,1956,Cadillac,Cadillac Series 75/Fleetwood,"$30,756",56000,365ci V8,60565
444,1983,Mercedes-Benz,Mercedes-Benz R107 SL,"$14,500",48000,3.8-Liter V8,29492
445,2004,Lexus,Lexus SC Coupe,"$30,000",9000,4.3-Liter V8,53114
446,1979,Volkswagen,Volkswagen Beetle,"$20,600",93000,Fuel-Injected 1.6L Flat-Four ,80220
447,1989,BMW,BMW E30 3-Series,"$16,000",76000,2.5-Liter Inline-Six,12205
448,2022,Ford,Ford U725 Bronco,0,899000,Twin-Turbocharged 2.7-Liter EcoBoost V6,81502
449,2022,Porsche,Porsche 996 911,$800,0,Cast Alloy Construction,31302
450,1957,Ford,Ford Thunderbird,"$32,000",68000,312ci V8,34145
451,1994,Mercedes-Benz,Mercedes-Benz R129 SL,"$19,500",44000,3.2-Liter M104 Inline-Six,95131
452,1989,Mercedes-Benz,Mercedes-Benz R107 SL,"$20,000",71000,5.5-Liter M117 V8,28741
453,2004,Ford,Ford Thunderbird,"$21,050",19000,3.9-Liter V8,80238
454,1981,Toyota,Toyota Pickup,"$14,250",68000,2.4-Liter 22R Inline-Four,84124
455,2006,BMW,BMW Z4 M Roadster,"$31,500",25000,3.2-liter S54 Inline-Six,55318
456,2012,Fisker,10s,"$32,500",26000,#41 of 100 Signature Editions,11733
457,1970,Ford,Ford Bronco U13/U14/U15 1966-1977,"$70,000",13000,302ci V8,85260
458,1966,Chevrolet,Chevrolet Pickup,"$40,000",72000,350ci V8,93401
459,2004,Mercury,00s,"$21,500",50000,4.6-Liter V8,46373
460,3100,Chevrolet,Chevrolet Pickup,"$30,000",88000,350ci V8,85260
461,2002,Audi,Audi A8,"$12,000",85000,4.2-Liter V8,85225
462,1968,Chevrolet,Chevrolet Camaro 1st Generation 1967-1969,"$51,968",72000,502ci V8,21784
463,1975,Porsche,Porsche 914,"$84,000",0,Modified 2.7-Liter Flat-Six,60089
464,1978,Dodge,Dodge Power Wagon,"$29,000",68000,360ci V8,22066
465,2005,Jaguar,Jaguar XJ,"$20,750",44000,Supercharged 4.2-Liter V8,8075
466,2003,Chevrolet,Chevrolet Corvette C5,"$37,500",7000,5.7-Liter V8,17364
467,1969,Ford,Ford Mustang 1969-1973,"$124,500",68000,428ci Super Cobra Jet V8,73142
468,1989,Porsche,Porsche 911 Carrera 3.2,"$75,500",48000,1 of 300 Anniversary Edition Coupes,2889
469,2009,Mercedes-Benz,Mercedes-Benz R230 SL,"$30,250",44000,5.5-Liter V8,92614
470,1978,Lincoln,Lincoln Continental,"$21,500",24000,460ci V8,2719
471,1974,Porsche,Porsche 914,"$40,000",80000,2.0-Liter Fuel-Injected Flat-Four,49401
472,2000,BMW,BMW E39 M5,"$22,750",21000,98k Miles,85750
473,2012,Porsche,Porsche Panamera,"$77,000",40000,Twin-Turbocharged 4.8-Liter V8,97209
474,1976,Porsche,Porsche 911 1974-1977,"$85,000",128000,Engine Overbored & Rebuilt in 2019,77043
475,2000,Alfa Romeo,Alfa Romeo 105/115 Series Coupe,"$16,000",31000,2.0L Twin-Cam Inline-Four,94070
476,1967,Pontiac,Pontiac GTO,"$36,750",51000,400ci V8,8527
477,2005,Cadillac,Cadillac CTS-V,"$22,500",94000,5.7-liter LS6 V8,33617
478,2007,Jaguar,Jaguar XKR,"$33,500",12000,Supercharged 4.2-Liter V8,73089
479,1995,Mitsubishi,Mitsubishi Delica,"$14,750",0,Turbodiesel 2.8-Liter Inline-Four,20748
480,1975,Pontiac,Pontiac Firebird,"$31,500",47000,400ci V8,30060
481,2009,BMW,BMW E90/E92/E93 M3,"$85,000",0,4.0-liter V8,46165
482,1971,Ford,Ford Torino,"$17,025",23000,351ci V8,33134
483,1980,Porsche,Porsche 911SC,"$49,750",85000,3.0-Liter Flat-Six,85258
484,1980,Shelby,Shelby Cobra Replica,"$74,000",4000,Coyote 5.0-Liter V8,33414
485,1960,Alfa Romeo,Alfa Romeo 750/101 Series Giulietta & Giulia,"$76,000",32000,2.0L Inline-Four,90025
486,1988,Pontiac,Pontiac Firebird,"$15,750",59000,5.7-Liter L98 V8,11746
487,1995,Chevrolet,Chevrolet Blazer 1995-2004,"$14,750",31000,4.3-Liter Vortec V6,32128
488,1995,Jaguar,Jaguar XKE Series I,"$4,250",0,Tecalemit Grease Gun,29072
489,1977,Toyota,Toyota Land Cruiser FJ45,"$23,250",0,Imported From Costa Rica ,27893
490,1974,Alfa Romeo,Alfa Romeo 105 Series Sedan,"$23,250",0,1.3-Liter Inline-Four,22556
491,1970,Chevrolet,Chevrolet Chevelle,"$75,000",79000,454ci V8,92663
492,1991,Porsche,Porsche 964 911,"$180,000",54000,Supercharged 3.6L M64 Flat-Six,84065
493,1981,Volkswagen,Volkswagen Scirocco,"$12,300",139000,Replacement 1.8-Liter Inline-Four,80033
494,1981,020s,oryCharity Auctions,"$75,000",2000,VIP Parking,93908
495,1967,Griffith,60s,"$68,500",13000,"Refurbished, 2021-2022",94930
496,1991,Alfa Romeo,Alfa Romeo SZ/RZ,"$54,000",0,"15k Kilometers (~9,500 miles) Shown ",95032
497,1974,Land Rover,Land Rover Series 88,"$27,750",84000,2.25-Liter Gasoline Inline-Four,84037
498,2000,Datsun,Datsun Roadster,"$32,250",99000,2.0-Liter SOHC Inline-Four,27606
499,2000,Porsche,80s,"$260,000",0,3.2L Horizontal-Fan Flat-Six,97227
500,1962,Chevrolet,Chevrolet Corvair,"$9,400",88000,2.4-Liter Flat-Six,90405
501,1995,Ford,Ford F-Series 1992-1997,"$19,999",87000,5.0-Liter V8,60585
502,2016,Ford,Ford Mustang S550,"$41,950",15000,5.2-Liter Voodoo V8,7801
503,2003,Porsche,Porsche 996 Turbo,"$52,500",50000,Twin-Turbocharged 3.6L Flat-Six,21208
504,1989,Mercedes-Benz,Mercedes-Benz R107 SL,"$81,989",15000,5.5-Liter M117 V8,93940
505,2006,Porsche,Porsche 997 911,"$40,997",64000,3.6-Liter Flat-Six,93940
506,1959,Austin-Healey,Austin-Healey Bugeye Sprite,"$19,500",0,Replacement 948cc Inline-Four,47201
507,1951,Chevrolet,50s,"$17,000",11000,Replacement 429ci Cadillac V8,3782
508,1975,Land Rover,Land Rover Series 88,"$20,300",0,2.25-Liter Gasoline Inline-Four,76092
509,1982,Porsche,Porsche 911SC,"$52,000",84000,3.0L Flat-Six,76092
510,2012,Mercedes-Benz,Mercedes-Benz AMG,"$107,500",28000,6.2-Liter V8,93706
511,1996,Toyota,Toyota Land Cruiser 80-Series,"$15,800",138000,4.5-Liter Inline-Six,18977
512,1988,Mercedes-Benz,Mercedes-Benz R107 SL,"$38,500",60000,5.5-Liter V8,8817
513,2021,Ford,Ford U725 Bronco,"$69,021",0,Twin-Turbocharged 2.7L V6,23454
514,2019,Porsche,Porsche 911 GT3,"$256,000",0,4.0-Liter Flat-Six,33158
515,1991,Toyota,Toyota Land Cruiser 80-Series,"$39,750",0,Right-Hand Drive,33142
516,1991,Shelby,Shelby Cobra Replica,"$44,000",7000,357ci V8,60126
517,1988,Ford,Ford Fox-Body Mustang,"$16,600",32000,302ci V8,21409
518,2002,Porsche,Porsche 996 Turbo,"$47,777",89000,Twin-Turbocharged 3.6L Flat-Six,45419
519,1974,Toyota,Toyota Land Cruiser FJ40,"$40,150",19000,3.9-Liter Inline-Six,92626
520,1992,BMW,BMW E30 3-Series,"$15,000",99000,2.5-Liter Inline-Six,34786
521,1983,Datsun,Datsun 280ZX,"$15,500",79000,2.8L L28E Inline-Six,15237
522,2005,Mercedes-Benz,Mercedes-Benz R230 SL,"$21,750",38000,5.0-Liter V8,83686
523,1996,Porsche,Porsche 993 911,"$64,000",59000,3.6-Liter Flat-Six,13035
524,1984,BMW,BMW E24 6-Series,"$10,250",124000,3.2-Liter Inline-Six,92264
525,2001,Chevrolet,Chevrolet Corvette C5,"$25,777",10000,5.7-Liter Ls6 V8,12033
526,2001,Porsche,Porsche 356 Speedster Replica,"$51,000",4000,2.1-Liter Flat-Four,90049
527,2001,inItalian,oryParts,"$7,600",0,72 Wire Spokes,32119
528,2000,Honda,Honda S2000,"$43,000",26000,2.0-Liter F20C InLine-Four,43050
529,2002,BMW,BMW E39 M5,"$19,250",0,4.9-liter V8,43050
530,2015,Dodge,Dodge Viper,"$111,000",3000,8.4L V10,33611
531,2010,Porsche,Porsche 987 Cayman,"$48,500",0,11k Miles,67204
532,2010,Mercedes-Benz,Mercedes-Benz AMG,"$24,500",67000,6.2-Liter V8,85296
533,1950,Willys,Willys Jeepster,"$24,000",61000,148ci Lighting Inline-Six,81147
534,2002,BMW,BMW 2002,"$34,000",0,M10 2.0-Liter Inline-Four,91208
535,1955,Ford,Ford Fairlane,"$22,000",66000,312ci Y-Block V8,85351
536,1993,Chevrolet,Chevrolet Camaro 4th Generation 1993-2002,"$21,253",645000,"1,900 Miles",30067
537,1987,Toyota,Toyota Pickup,"$16,500",125000,Turbocharged 2.4-Liter Inline-Four ,80118
538,1996,Mazda,Mazda Miata,"$37,000",24000,6.2-Liter LS3 V8,36532
539,1970,Datsun,Datsun Roadster,"$14,600",6000,1.6-Liter OHV Inline-Four,91604
540,1992,BMW,BMW E31 8-Series,"$30,000",0,5.0-Liter V12,91604
541,1997,Land Rover,Land Rover Defender 90 NAS,"$119,999",29000,4.0-Liter V8,18972
542,1965,Sunbeam,Sunbeam Tiger,"$35,400",77000,260ci Ford V8,43082
543,1977,Jeep,Jeep CJ-5,"$31,500",26000,304ci V8,98682
544,1977,Porsche,Porsche 930 Turbo,"$5,222",0,White Paintwork,85716
545,1977,Porsche,Porsche Carrera GT,"$14,750",0,Three-Piece Construction,67203
546,2001,Porsche,Porsche 986 Boxster,"$24,500",30000,3.2-Liter Flat-Six,1545
547,1939,LaSalle,30s,"$6,600",42000,322ci Flathead V8,40356
548,1956,Austin-Healey,Austin-Healey 100,"$181,000",61000,"2,660cc Inline-Four",91108
549,2011,BMW,BMW 1M,"$75,000",96000,Twin-Turbocharged 3.0L Inline-Six,91108
550,1983,Mercedes-Benz,Mercedes-Benz W123,"$8,000",191000,3.0-Liter Turbodiesel Inline-Five,11222
551,1997,Porsche,Porsche 993 911,"$98,500",69000,3.6-Liter Flat-Six,37043
552,1970,Chevrolet,Chevrolet Pickup,"$23,000",970000,Replacement 350ci V8,11705
553,2020,Ford,Ford Mustang S550,"$41,000",16000,5.0-Liter Coyote V8 ,43229
554,1986,Porsche,Porsche 930 Turbo,"$202,000",75000,Twin-Plug 3.3L Turbocharged Flat-Six,78746
555,1985,Honda,Honda ATV,"$8,502",0,Air-Cooled 329cc Two-Stroke Single,92705
556,2009,Porsche,Porsche Cayenne,"$61,000",50000,4.8-Liter V8,28104
557,1972,Ford,Ford Bronco U13/U14/U15 1966-1977,"$97,000",71000,302ci V8,7640
558,2017,Jaguar,Jaguar F-Type,"$43,250",12000,Supercharged 3.0-Liter V6,30004
559,1973,Datsun,Datsun 240Z,"$20,000",64000,Numbers-Matching 2.4-Liter Inline-Six,94597
560,2022,Ford,Ford F-150 Lightning Electric,"$115,000",58000,Dual Permanent-Magnet Electric Motors,4938
561,1981,Moto Guzzi,80s,"$7,150",17000,Air-Cooled 949cc V-Twin,4056
562,1981,Auburn,30s,"$40,750",36000,454ci GM V8,87102
563,1965,Porsche,Porsche Longhood 911,"$115,000",27000,2.0-Liter Flat-Six,92121
564,1957,Triumph,Triumph TR3,"$41,000",0,"Replacement 2,138cc Inline-Four",66226
565,1986,Ford,Ford F-Series 1980-1986,"$19,250",70000,7.5-Liter V8,85013
566,1976,Honda,Honda Motorcycles,"$5,500",25000,544cc Inline-Four,57701
567,2011,Land Rover,Land Rover Range Rover L322,"$24,000",66000,Supercharged 5.0-Liter V8,7074
568,2018,Porsche,Porsche 911 GT3,"$177,000",0,4.0-Liter Flat-Six,95448
569,2004,Land Rover,Land Rover Discovery,"$41,500",87000,4.6-Liter V8,20852
570,1965,Lincoln,Lincoln Continental,"$62,000",53000,430ci V8,85027
571,1999,Porsche,Porsche 996 911,"$28,591",40000,3.4-Liter M96 Flat-Six,63055
572,2004,Porsche,Porsche 996 911,"$36,500",52000,3.6-Liter Flat-Six,94534
573,1983,Porsche,Porsche 944,"$11,550",800000,2.5-Liter Inline-Four,23455
574,2002,Ford,Ford Thunderbird,"$23,750",6000,3.9-Liter V8,85260
575,2011,Chevrolet,Chevrolet Corvette C6,"$112,900",37000,Supercharged 6.2-liter LS9 V8,77373
576,2022,Ford,Ford U725 Bronco,"$70,022",835000,Twin-Turbocharged EcoBoost 2.7L V6,19380
577,2022,Chevrolet,Chevrolet Corvette C8,"$102,000",20000,6.2-Liter LT2 V8,33966
578,2001,Mercedes-Benz,Mercedes-Benz CLK-Class,"$15,000",78000,4.3-Liter M113 V8,95131
579,1994,Chevrolet,Chevrolet Blazer GMT415,"$35,250",0,6.5-Liter Turbodiesel V8,1077
580,1999,Porsche,Porsche 996 911,"$27,500",145000,3.4-Liter M96 Flat-Six,94618
581,2009,Mazda,Mazda RX-8,"$28,000",0,1.3-Liter Renesis Rotary,89434
582,2001,Pontiac,Pontiac Firebird,"$32,250",0,5.7-Liter LS1 V8,43412
583,1967,Ford,Ford Thunderbird,"$14,450",65000,428ci V8,26757
584,1986,Chevrolet,Chevrolet Corvette C4,"$7,300",66000,5.7-Liter L98 V8,35802
585,2006,Porsche,Porsche 997 911,"$46,000",25000,3.8-Liter Flat-Six,32789
586,1968,Triumph,Triumph TR5 & TR250,"$37,500",0,"68k Miles Shown, TMU",28412
587,1996,Ford,Ford Bronco 4th-5th Generations 1987-1996,"$41,250",159000,5.8-Liter V8,85260
588,1990,Toyota,Toyota Supra,"$14,050",132000,Turbocharged 3.0-Liter Inline-Six,94518
589,2017,BMW,BMW F80 M3,"$57,000",28000,Twin-Turbocharged 3.0L S55 Inline-Six,89441
